@relation InstanceResultListener

@attribute Key_Dataset {signs}
@attribute Key_Run {1}
@attribute Key_Scheme {weka.classifiers.functions.MultilayerPerceptron}
@attribute Key_Scheme_options {'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.2 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.4 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.5 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.6 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.7 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.8 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.9 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 1.0 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.3 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.5 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.6 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.7 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.9 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 100 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 200 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 300 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 400 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 600 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 700 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 800 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 900 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 1000 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 10 -H a','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 30 -H a','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 40 -H a','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 50 -H a','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 60 -H a','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 70 -H a','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 80 -H a','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 90 -H a','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 100 -H a'}
@attribute Key_Scheme_version_ID {-5990607817048210779}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1254,720,1680,1322,358,0,78.690476,21.309524,0,0.763228,0.056019,0.178628,31.121726,59.542512,5580.839199,1939.895559,3640.94364,3.321928,1.1547,2.167228,4333.183419,2.579276,77.64394,0.315476,53,0.02381,36,0.97619,1476,0.684524,115,0.595506,0.315476,0.412451,0.390649,0.878945,0.516114,0.786905,0.023677,0.976323,0.213095,0.798571,0.786905,0.7843,0.766038,0.961568,0.82361,0.7843,0.786905,3.078,0.02,3.059969,0.019519,3059.969,19.519,40029,144115,333235,93.27381,19.380952,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1254,720,1680,1441,239,0,85.77381,14.22619,0,0.841931,0.041998,0.149262,23.332033,49.754052,5580.839199,1438.89131,4141.947889,3.321928,0.856483,2.465445,4686.553638,2.789615,83.975787,0.660714,111,0.041667,63,0.958333,1449,0.339286,57,0.637931,0.660714,0.649123,0.609491,0.938496,0.645389,0.857738,0.015807,0.984193,0.142262,0.859491,0.857738,0.857969,0.842561,0.973978,0.880671,0.857969,0.857738,8.849,0.022,8.800522,0.021618,8800.522,21.618,106874,312633,724473,95,17.684524,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1255,720,1680,1495,185,0,88.988095,11.011905,0,0.877646,0.030763,0.135888,17.090733,45.295859,5580.839199,1347.449567,4233.389632,3.321928,0.802053,2.519875,4883.774351,2.907009,87.509677,0.595238,100,0.021825,33,0.978175,1479,0.404762,68,0.75188,0.595238,0.664452,0.637128,0.956727,0.73862,0.889881,0.012235,0.987765,0.110119,0.894194,0.889881,0.889791,0.87898,0.980848,0.921303,0.889791,0.889881,28.465,0.072,27.779674,0.070005,27779.674,70.005,300365,597370,1385530,95,14.452381,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.2 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1255,720,1680,1309,371,0,77.916667,22.083333,0,0.75463,0.051031,0.187281,28.350607,62.426857,5580.839199,2623.940796,2956.898403,3.321928,1.56187,1.760059,4346.190873,2.587018,77.877013,0.333333,56,0.021825,33,0.978175,1479,0.666667,112,0.629213,0.333333,0.435798,0.417224,0.869378,0.508058,0.779167,0.024537,0.975463,0.220833,0.790893,0.779167,0.77727,0.757692,0.95715,0.813727,0.77727,0.779167,3.25,0.013,3.190553,0.009799,3190.553,9.799,40029,144115,333235,88.452381,15.220238,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.2 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1255,720,1680,1426,254,0,84.880952,15.119048,0,0.832011,0.040643,0.155328,22.579384,51.775944,5580.839199,1642.586305,3938.252894,3.321928,0.97773,2.344198,4679.584588,2.785467,83.850912,0.529762,89,0.030423,46,0.969577,1466,0.470238,79,0.659259,0.529762,0.587459,0.551055,0.925379,0.581747,0.84881,0.016799,0.983201,0.15119,0.857878,0.84881,0.850483,0.835509,0.971993,0.868761,0.850483,0.84881,13.397,0.027,10.563143,0.025306,10563.143,25.306,106874,312633,724473,93.630952,15.732143,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.2 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1256,720,1680,1475,205,0,87.797619,12.202381,0,0.864418,0.028903,0.13914,16.057407,46.379919,5580.839199,1482.399218,4098.439982,3.321928,0.88238,2.439548,4895.711881,2.914114,87.723579,0.440476,74,0.015212,23,0.984788,1489,0.559524,94,0.762887,0.440476,0.558491,0.54697,0.946393,0.710475,0.877976,0.013558,0.986442,0.122024,0.886797,0.877976,0.875322,0.866212,0.981842,0.92178,0.875322,0.877976,42.329,0.106,35.80939,0.105441,35809.39,105.441,300365,597370,1385530,94.464286,13.113095,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1256,720,1680,1305,375,0,77.678571,22.321429,0,0.751984,0.050049,0.189303,27.804842,63.101124,5580.839199,3034.841546,2545.997654,3.321928,1.806453,1.515475,4335.859369,2.580869,77.691889,0.404762,68,0.035053,53,0.964947,1459,0.595238,100,0.561983,0.404762,0.470588,0.429017,0.896818,0.528541,0.776786,0.024802,0.975198,0.223214,0.77101,0.776786,0.772125,0.748505,0.955509,0.794654,0.772125,0.776786,5.33,0.013,5.267852,0.012763,5267.852,12.763,40029,144115,333235,88.333333,14.625,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1256,720,1680,1400,280,0,83.333333,16.666667,0,0.814815,0.040409,0.163737,22.449637,54.578926,5580.839199,2089.142629,3491.696571,3.321928,1.243537,2.078391,4623.190338,2.751899,82.840415,0.47619,80,0.023148,35,0.976852,1477,0.52381,88,0.695652,0.47619,0.565371,0.538224,0.919029,0.605878,0.833333,0.018519,0.981481,0.166667,0.844658,0.833333,0.833758,0.81857,0.968102,0.862816,0.833758,0.833333,12.898,0.039,12.463956,0.038813,12463.956,38.813,106874,312633,724473,91.547619,14.428571,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1257,720,1680,1483,197,0,88.27381,11.72619,0,0.869709,0.027876,0.140909,15.486826,46.969781,5580.839199,1537.160383,4043.678817,3.321928,0.914976,2.406952,4895.497337,2.913987,87.719735,0.511905,86,0.01918,29,0.98082,1483,0.488095,82,0.747826,0.511905,0.607774,0.585368,0.95642,0.742854,0.882738,0.013029,0.986971,0.117262,0.891973,0.882738,0.882647,0.872612,0.982355,0.922422,0.882647,0.882738,36.488,0.097,35.984859,0.095819,35984.859,95.819,300365,597370,1385530,93.928571,12.547619,?
